#键	计数	中位键角	p05	p95	均值
C	4	0	0	0	133920	109.4	106.4	112.9	109.4383
C	3	1	6	0	87857	120.0	116.6	122.6	119.9079
C	3	1	6	6	47823	120.1	117.5	123.4	120.1477
C	4	0	6	0	22812	109.1	105.8	111.9	108.9494
C	3	0	0	0	18030	120.8	110.2	127.2	119.9909
N	3	0	0	0	15246	115.6	107.3	125.8	115.7521
C	4	0	5	0	9906	110.7	106.8	115.1	110.7580
C	3	1	5	0	7781	126.4	118.4	134.1	126.1689
C	3	0	6	0	6927	120.6	114.8	125.2	120.3159
O	2	0	0	0	6820	108.7	102.6	118.0	110.1459
C	4	0	6	6	5122	111.6	108.3	114.9	111.5818
C	3	1	5	5	4773	109.5	104.5	115.0	109.4116
C	3	0	6	6	3691	119.3	114.7	124.6	119.3817
S	4	0	0	0	3078	107.8	102.0	122.2	109.2043
N	2	1	6	6	2705	116.9	112.2	119.8	116.7864
C	3	0	5	0	2691	125.1	119.4	130.7	125.1223
N	3	0	6	0	2386	117.3	110.2	122.5	117.0799
C	4	0	5	5	2277	103.3	98.4	107.9	103.3420
N	3	1	5	0	1618	125.7	118.5	130.8	125.0306
C	3	1	5	6	1565	121.8	116.6	127.1	121.4666
N	2	1	5	5	1458	105.4	102.1	111.2	105.9988
C	3	0	5	5	1411	109.7	104.7	116.9	110.0097
N	3	0	6	6	1309	121.4	109.9	126.4	119.9056
N	3	0	5	0	1250	122.4	112.1	128.3	121.7110
C	4	0	3	0	1052	117.7	113.1	121.9	117.4855
N	2	0	0	0	988	113.3	107.2	121.3	114.3556
C	4	0	7	0	915	108.4	105.2	112.0	108.4519
N	3	1	5	5	874	110.5	106.4	114.5	110.4556
P	4	0	0	0	738	109.4	100.7	117.6	109.1961
N	3	0	5	5	686	110.7	104.1	117.5	110.7280
C	4	0	4	0	684	114.3	108.2	118.8	114.0089
S	2	0	0	0	667	99.8	94.5	103.3	99.5111
C	2	0	0	0	613	178.9	176.1	179.9	178.5909
N	3	1	6	0	526	120.0	117.2	122.7	120.0192
O	2	0	6	6	405	113.6	110.1	121.4	114.5119
N	4	0	0	0	360	109.2	105.8	113.4	109.4269
O	2	0	5	5	355	107.7	100.8	112.3	106.5366
N	2	0	6	6	328	118.0	113.9	121.7	118.0116
S	2	1	5	5	309	92.0	89.1	94.5	91.7304
O	2	1	5	5	306	107.9	104.0	111.4	108.4275
C	3	0	7	0	280	117.7	111.2	123.1	117.3689
N	3	1	6	6	271	120.2	118.2	121.8	119.9373
C	4	0	5	6	254	111.0	106.4	116.7	111.2512
S	2	0	5	5	234	92.8	88.0	96.7	92.5829
C	4	0	3	3	218	59.3	57.9	60.4	59.1922
C	4	0	7	7	183	114.0	109.4	119.7	114.1383
C	4	0	8	0	175	108.3	104.9	112.7	108.4326
N	2	0	5	5	165	106.4	101.6	111.3	106.4297
C	4	0	4	4	151	87.2	83.2	90.7	86.9172
N	4	0	6	0	141	108.5	103.2	114.2	108.6908
C	3	0	7	7	140	125.3	117.2	132.7	125.1550
S	4	0	5	0	130	109.2	107.3	123.1	111.6854
C	3	0	4	0	126	133.9	127.5	142.7	134.5468
N	3	0	7	0	88	114.9	109.1	120.4	114.4295
C	3	1	6	7	87	123.0	119.3	127.4	123.2621
S	2	0	6	6	82	100.0	96.3	104.4	100.2793
C	4	0	28	0	80	108.6	104.7	111.4	108.5138
C	3	0	5	6	77	123.0	115.4	127.8	122.4896
