#键	计数	中位键长	p05	p95	均值
C	H	1	0	96412	1.094	1.085	1.098	1.0925
C	C	ar	6	43832	1.397	1.386	1.412	1.3982
C	C	1	0	22346	1.523	1.469	1.549	1.5164
C	N	1	0	9054	1.422	1.36	1.486	1.4266
C	O	1	0	8977	1.384	1.346	1.441	1.3943
H	N	1	0	6986	1.015	1.009	1.028	1.0165
C	C	1	6	6193	1.527	1.463	1.556	1.5190
C	O	2	0	5837	1.224	1.216	1.233	1.2245
C	N	ar	6	5744	1.349	1.33	1.369	1.3488
H	O	1	0	3911	0.978	0.971	0.984	0.9772
C	N	1	6	2826	1.391	1.357	1.485	1.4094
C	N	ar	5	2823	1.364	1.313	1.395	1.3553
C	C	ar	5	2627	1.389	1.372	1.432	1.3953
C	C	1	5	2366	1.522	1.461	1.562	1.5177
C	S	1	0	1724	1.782	1.727	1.832	1.7847
C	Cl	1	0	1661	1.727	1.71	1.803	1.7401
C	N	1	5	1260	1.391	1.357	1.484	1.4084
N	O	1	0	1211	1.239	1.236	1.422	1.2746
O	S	2	0	1165	1.448	1.443	1.461	1.4501
C	C	2	6	967	1.343	1.334	1.357	1.3440
N	O	2	0	946	1.238	1.236	1.241	1.2391
C	O	1	6	804	1.429	1.368	1.443	1.4177
N	N	ar	5	755	1.351	1.32	1.38	1.3527
C	N	2	0	745	1.296	1.278	1.308	1.2939
Br	C	1	0	739	1.901	1.884	1.976	1.9132
C	O	1	5	671	1.43	1.355	1.454	1.4125
C	C	2	0	670	1.342	1.338	1.356	1.3439
C	F	1	0	582	1.358	1.339	1.371	1.3564
C	S	ar	5	571	1.713	1.695	1.729	1.7126
N	N	1	0	537	1.391	1.35	1.438	1.3915
C	N	3	0	535	1.16	1.158	1.163	1.1605
C	S	1	5	469	1.759	1.722	1.828	1.7674
C	O	ar	5	377	1.364	1.354	1.379	1.3640
C	N	2	6	334	1.294	1.283	1.312	1.2952
C	S	2	0	323	1.67	1.653	1.698	1.6725
O	S	1	0	319	1.614	1.461	1.631	1.6040
O	P	1	0	265	1.614	1.59	1.626	1.6085
C	C	1	7	241	1.518	1.457	1.546	1.5119
N	O	ar	5	233	1.391	1.382	1.403	1.3918
C	S	1	6	209	1.78	1.722	1.823	1.7776
C	C	2	5	184	1.341	1.331	1.35	1.3409
C	C	1	4	178	1.552	1.456	1.594	1.5443
C	C	1	3	165	1.508	1.495	1.523	1.5087
C	N	2	5	158	1.299	1.286	1.316	1.2997
H	S	1	0	139	1.341	1.338	1.344	1.3405
N	S	1	0	127	1.682	1.642	1.723	1.6845
C	I	1	0	127	2.092	2.076	2.152	2.0974
N	N	1	5	121	1.387	1.358	1.474	1.3990
N	N	2	0	113	1.251	1.141	1.276	1.2462
C	N	1	7	106	1.409	1.359	1.487	1.4162
N	N	ar	6	99	1.361	1.331	1.381	1.3626
O	P	2	0	95	1.5	1.483	1.513	1.4990
C	P	1	0	91	1.791	1.757	1.835	1.7923
C	O	1	3	90	1.434	1.429	1.441	1.4347
N	N	1	6	78	1.378	1.352	1.447	1.3891
N	S	ar	5	46	1.665	1.65	1.677	1.6638
C	S	1	7	42	1.808	1.758	1.839	1.8026
C	O	1	7	42	1.422	1.364	1.439	1.4111
C	C	2	7	41	1.343	1.335	1.356	1.3446
N	P	1	0	40	1.641	1.619	1.695	1.6491
S	S	1	0	35	2.059	2.056	2.081	2.0609
C	N	2	7	35	1.293	1.274	1.323	1.2948
C	C	3	0	31	1.202	1.201	1.202	1.2015
C	C	1	8	29	1.526	1.467	1.571	1.5235
P	S	2	0	29	1.939	1.928	1.959	1.9420
C	Si	1	0	26	1.878	1.863	2.011	1.8933
N	O	1	5	24	1.433	1.397	1.482	1.4359
C	N	1	4	23	1.456	1.353	1.481	1.4273
C	O	ar	6	22	1.42	1.419	1.433	1.4217
C	N	1	8	21	1.452	1.346	1.478	1.4251
C	C	1	28	21	1.537	1.447	1.552	1.5176
C	C	ar	7	21	1.348	1.334	1.526	1.3960
N	S	1	5	20	1.681	1.663	1.718	1.6923
C	N	1	3	20	1.459	1.435	1.47	1.4580
S	S	1	5	19	2.028	2.019	2.076	2.0351
C	S	1	4	19	1.806	1.76	1.829	1.8036
N	N	2	5	17	1.266	1.254	1.283	1.2674
C	O	1	8	16	1.423	1.373	1.438	1.4214
Cl	S	1	0	16	2.043	2.041	2.051	2.0438
C	C	2	4	15	1.364	1.34	1.38	1.3597
