#环尺寸	芳香	全sp3	计数	中位	p05	p95	均值
3	0	0	30	0.0	0.0	0.0	0.0000
3	0	1	255	0.0	0.0	0.0	0.0000
4	0	0	112	2.7	0.0	33.2	7.5518
4	0	1	128	24.8	15.9	34.9	25.4474
5	0	0	4350	2.8	0.0	35.2	9.2149
5	0	1	1425	32.2	1.7	56.5	29.3320
5	1	0	7230	0.2	0.0	2.8	0.6694
6	0	0	9198	3.9	0.0	58.2	16.4144
6	0	1	3786	53.8	19.0	64.4	47.1317
6	1	0	51186	0.2	0.0	2.2	0.5883
7	0	0	539	37.3	0.2	81.0	35.9043
7	0	1	77	68.7	25.7	92.5	64.0905
7	1	0	21	4.1	0.0	32.3	8.0758
8	0	0	96	63.0	2.6	116.3	57.5064
8	0	1	24	64.6	41.8	117.4	72.8898
9	0	0	9	60.8	1.0	141.4	72.4171
9	0	1	9	78.8	69.2	118.3	85.9839
10	0	0	10	41.2	6.9	71.5	46.4700
16	0	0	16	88.8	64.3	171.2	110.8732
16	1	0	16	178.3	1.4	179.8	91.4703
28	0	0	28	83.9	0.7	177.6	97.3475
