#环大小	花样	量	计数	中位	p05	p95	均值
6	333333i	Q	391	0.563	0.531	0.712	0.5722
6	333333i	theta	391	2.3	0.4	11.3	6.5238
6	233333i	Q	143	0.557	0.522	0.583	0.5556
6	233333i	theta	143	3.4	0.6	10.6	4.5021
5	33333f1	Q	141	0.477	0.31	0.61	0.4919
5	33333f1	phi	141	4.1	0.3	17.6	6.4128
5	22223i	Q	116	0.028	0.0	0.102	0.0311
5	22223i	phi	116	6.1	0.1	17.5	7.7845
5	33333i	Q	115	0.39	0.337	0.445	0.3914
5	33333i	phi	115	10.8	0.4	17.6	9.6730
6	333333f1	Q	114	0.553	0.527	0.702	0.5665
6	333333f1	theta	114	4.2	1.0	26.0	9.0412
5	22233i	Q	100	0.182	0.0	0.284	0.1580
5	22233i	phi	100	11.4	0.4	18.0	10.5090
5	22233f1	Q	89	0.143	0.0	0.397	0.1671
5	22233f1	phi	89	8.5	0.0	17.5	8.1326
6	333333f3	Q	88	0.621	0.558	0.835	0.6278
6	333333f3	theta	88	0.6	0.0	89.2	11.0375
5	22333i	Q	80	0.317	0.097	0.376	0.2930
5	22333i	phi	80	3.0	0.4	14.2	5.0463
6	223333f1	Q	78	0.491	0.421	0.638	0.4957
6	223333f1	theta	78	48.3	45.8	70.8	50.3923
5	22333f1	Q	77	0.313	0.022	0.594	0.3237
5	22333f1	phi	77	1.6	0.1	14.1	3.5948
6	333333f2	Q	77	0.579	0.519	0.913	0.6429
6	333333f2	theta	77	11.6	2.2	90.0	32.3325
5	22223f1	Q	68	0.007	0.0	0.074	0.0231
5	22223f1	phi	68	7.1	0.0	16.7	8.0794
6	222333f1	Q	67	0.459	0.424	0.625	0.4777
6	222333f1	theta	67	52.7	46.1	56.7	52.4463
6	222223i	Q	62	0.234	0.0	0.385	0.2055
6	222223i	theta	62	57.9	25.8	86.2	56.9726
5	22222f1	Q	60	0.002	0.0	0.048	0.0117
5	22222f1	phi	60	6.2	0.0	17.5	7.2367
6	222222f2	Q	53	0.005	0.0	0.276	0.0471
6	222222f2	theta	53	74.4	19.7	90.0	67.7528
6	222233f1	Q	50	0.47	0.078	0.647	0.4367
6	222233f1	theta	50	62.2	44.1	77.7	62.3380
6	222222i	Q	49	0.008	0.0	0.457	0.0958
6	222222i	theta	49	72.2	30.3	90.0	70.7592
6	223333f2	Q	45	0.514	0.43	0.808	0.5475
6	223333f2	theta	45	50.5	48.3	89.5	53.4089
6	222222f1	Q	44	0.012	0.0	0.16	0.0390
6	222222f1	theta	44	72.4	46.3	85.2	70.2682
6	222223f1	Q	43	0.11	0.0	0.346	0.1353
6	222223f1	theta	43	68.3	56.3	82.9	69.2395
6	222223f2	Q	43	0.208	0.0	0.541	0.2354
6	222223f2	theta	43	75.6	61.7	85.3	73.9233
6	222333i	Q	39	0.471	0.423	0.566	0.4766
6	222333i	theta	39	51.8	40.0	63.9	51.4231
5	23333i	Q	34	0.371	0.324	0.486	0.3797
5	23333i	phi	34	10.7	1.7	18.0	10.9324
6	233333f2	Q	32	0.546	0.493	0.841	0.6016
6	233333f2	theta	32	9.0	4.7	89.3	25.8687
6	222233i	Q	28	0.441	0.228	0.63	0.4464
6	222233i	theta	28	62.3	52.5	68.5	62.0464
5	33333f2	Q	27	0.551	0.286	0.611	0.4815
5	33333f2	phi	27	3.2	0.0	17.7	7.2111
6	223333i	Q	27	0.478	0.469	0.558	0.4978
6	223333i	theta	27	51.0	6.6	51.8	44.0111
5	22222i	Q	26	0.003	0.0	0.068	0.0156
5	22222i	phi	26	4.1	0.8	16.8	7.6846
6	222333f2	Q	25	0.517	0.455	0.806	0.5776
6	222333f2	theta	25	57.2	50.6	87.8	64.2720
6	223333f3	Q	21	0.807	0.517	0.854	0.7399
6	223333f3	theta	21	89.3	46.4	90.0	78.5381
5	23333f1	Q	20	0.408	0.246	0.611	0.4718
5	23333f1	phi	20	6.0	1.0	16.6	8.4250
6	222233f2	Q	17	0.436	0.013	0.536	0.3834
6	222233f2	theta	17	66.3	60.7	90.0	67.2471
5	22223f2	Q	15	0.024	0.0	0.622	0.1324
5	22223f2	phi	15	5.8	0.5	16.9	7.1333
5	22233f2	Q	14	0.006	0.0	0.084	0.0270
5	22233f2	phi	14	9.8	0.0	17.4	7.8286
6	233333f1	Q	12	0.531	0.503	0.723	0.5599
6	233333f1	theta	12	11.4	2.5	76.6	16.1750
6	223223i	Q	11	0.48	0.0	0.831	0.4325
6	223223i	theta	11	89.3	78.3	90.0	86.4818
5	22222f2	Q	7	0.013	0.0	0.065	0.0160
5	22222f2	phi	7	6.7	1.5	14.1	5.7571
5	22333f2	Q	7	0.457	0.074	0.589	0.3860
5	22333f2	phi	7	1.1	0.1	16.4	5.7857
5	33333f3	Q	7	0.499	0.426	0.536	0.4826
5	33333f3	phi	7	0.7	0.2	17.9	7.3143
6	223223f1	Q	7	0.369	0.0	0.581	0.3101
6	223223f1	theta	7	79.4	70.5	86.4	79.5857
5	22233f3	Q	6	0.063	0.061	0.133	0.0977
5	22233f3	phi	6	12.3	8.9	17.6	14.3833
6	223223f3	Q	6	0.776	0.756	0.829	0.7915
6	223223f3	theta	6	90.0	89.8	90.0	89.9500
6	222222f3	Q	5	0.0	0.0	0.026	0.0052
6	222222f3	theta	5	66.2	22.7	89.2	61.7400
6	223223f2	Q	5	0.388	0.007	0.787	0.4264
6	223223f2	theta	5	88.8	0.2	90.0	71.2800
6	223233f1	Q	5	0.461	0.433	0.556	0.4742
6	223233f1	theta	5	57.9	48.1	79.2	59.8800
6	223233f2	Q	5	0.43	0.426	0.434	0.4302
6	223233f2	theta	5	51.8	51.1	54.0	52.0800
6	233333f3	Q	5	0.726	0.535	0.856	0.7138
6	233333f3	theta	5	84.9	28.7	87.5	74.1800
6	223233i	Q	4	0.531	0.472	0.597	0.5353
6	223233i	theta	4	51.3	50.6	59.0	53.4500
6	233233i	Q	4	0.478	0.465	0.702	0.5525
6	233233i	theta	4	0.1	0.0	90.0	23.1250
5	22323f1	Q	3	0.102	0.0	0.549	0.2170
5	22323f1	phi	3	5.7	0.1	15.7	7.1667
5	22323i	Q	3	0.033	0.0	0.038	0.0237
5	22323i	phi	3	5.8	4.8	7.6	6.0667
5	23333f3	Q	2	0.406	0.406	0.406	0.4060
5	23333f3	phi	2	13.8	13.8	13.8	13.8000
6	222233f3	Q	2	0.027	0.027	0.385	0.2060
6	222233f3	theta	2	61.7	61.7	90.0	75.8500
6	222323f2	Q	2	0.309	0.309	0.386	0.3475
6	222323f2	theta	2	44.6	44.6	53.4	49.0000
6	232333i	Q	2	0.497	0.497	0.53	0.5135
6	232333i	theta	2	3.5	3.5	27.5	15.5000
5	23233i	Q	1	0.2	0.2	0.2	0.2000
5	23233i	phi	1	11.0	11.0	11.0	11.0000
5	23333f2	Q	1	0.579	0.579	0.579	0.5790
5	23333f2	phi	1	1.3	1.3	1.3	1.3000
6	222223f3	Q	1	0.332	0.332	0.332	0.3320
6	222223f3	theta	1	64.9	64.9	64.9	64.9000
6	222323f1	Q	1	0.348	0.348	0.348	0.3480
6	222323f1	theta	1	52.0	52.0	52.0	52.0000
6	222323i	Q	1	0.412	0.412	0.412	0.4120
6	222323i	theta	1	48.2	48.2	48.2	48.2000
6	222333f3	Q	1	0.548	0.548	0.548	0.5480
6	222333f3	theta	1	52.1	52.1	52.1	52.1000
6	223233f3	Q	1	0.816	0.816	0.816	0.8160
6	223233f3	theta	1	89.0	89.0	89.0	89.0000
6	232323i	Q	1	0.987	0.987	0.987	0.9870
6	232323i	theta	1	90.0	90.0	90.0	90.0000
6	232333f1	Q	1	0.532	0.532	0.532	0.5320
6	232333f1	theta	1	12.9	12.9	12.9	12.9000
6	232333f2	Q	1	0.509	0.509	0.509	0.5090
6	232333f2	theta	1	15.4	15.4	15.4	15.4000
6	233233f2	Q	1	0.542	0.542	0.542	0.5420
6	233233f2	theta	1	0.0	0.0	0.0	0.0000
