#种子 0xbeef	NCONF 100	环大小 5
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	a0	a1	a2	a3	a4	t0	t1	t2	Q	phi	SMILES
22222f1	22222	CCCCC	-,-,-,O,-	1.433281	1.335029	1.474096	1.475562	1.336828	110.492914	111.604092	104.366024	108.465968	104.947948	-3.402696	3.429334	0.000000	0.031954	2.7234	[H]/N=C\\1/[C@H]([C@H](C2=C(S1)C=C(C2=O)C)C(C)C)C#N
22222f1	22222	CCCCC	-,-,-,O,-	1.490085	1.379676	1.450714	1.477285	1.352370	104.358185	111.500077	106.778885	105.532703	111.830151	-0.000050	0.000001	0.000000	0.000001	0.2623	c1cnc2c(n1)C(=CC2=O)[O-]
22222f1	22222	CCCCC	-,C,-,-,-	1.455453	1.467649	1.405899	1.461476	1.343156	109.911416	107.016136	105.415027	109.830404	107.826689	-0.180512	0.134372	0.000000	0.001679	10.4630	C1=CC=C(C=C1)C=C2C=CC3=C2C=CC=C3
22222f1	22222	CCCCN	O,-,-,O,-	1.458575	1.384387	1.462649	1.360210	1.360730	106.464213	107.406744	107.490520	106.240924	112.351775	0.874655	0.437252	0.000000	0.018956	11.5530	[O-][N+](=O)C1=C2C(=O)NC(=O)C2=CC=C1
22222f1	22222	CCCCN	O,-,-,O,-	1.463118	1.386787	1.462589	1.360720	1.360773	106.339112	107.465971	107.334296	106.446930	112.413692	-0.000023	0.000023	0.000000	0.000000	4.6679	[O-][N+](=O)C1=CC2=C(C=C1)C(=O)NC2=O
22222f1	22222	CCCCN	O,N,-,-,-	1.533188	1.458954	1.393776	1.391716	1.378383	105.564881	105.732941	106.674033	111.316266	110.710174	-0.317136	0.109517	0.000000	0.003899	14.9920	[O-][N+](=O)C1=CC(=C(NN=C2C(=O)NC3=C2C=CC=C3)C=C1)[N+]([O-])=O
22222f1	22222	CCCCO	O,-,-,O,-	1.439516	1.364861	1.439516	1.359482	1.359482	106.221904	107.915216	107.915219	106.221902	111.725758	-0.000001	0.000001	0.000000	0.000000	2.2373	C1(C2=C(C(O)=CC=C2O)C(O1)=O)=O
22222f1	22222	CCCCO	O,-,-,O,-	1.441912	1.366353	1.445744	1.359284	1.360245	105.922658	107.956554	108.058060	105.706113	112.345551	-0.987059	0.545162	0.000000	0.009468	5.9202	[O-][N+](=O)C1=C2C(=O)OC(=O)C2=CC=C1
22222f1	22222	CCCCO	O,-,-,O,-	1.451117	1.372586	1.451117	1.355874	1.355874	105.921301	107.742357	107.742359	105.921299	112.672684	-0.000001	-0.000006	0.000000	0.000000	3.5968	ClC1=C(Cl)C(=C2C(=O)OC(=O)C2=C1Cl)Cl
22222f1	22222	CCCCO	O,-,-,O,-	1.454713	1.374514	1.454713	1.354471	1.354471	106.062170	107.606304	107.606303	106.062171	112.663052	-0.000001	0.000009	0.000000	0.000000	6.3314	BrC1=C(Br)C(=C2C(=O)OC(=O)C2=C1Br)Br
22222f1	22222	CCCNN	-,-,N,-,-	1.343776	1.558511	1.345645	1.527639	1.380058	111.303464	108.514488	104.470600	109.575022	105.856290	-0.660185	-2.556315	0.000000	0.047690	6.6915	CC1=CCC(=O)C2=CNN(C2=[NH+]1)C
22222f1	22222	CCCNO	N,N,-,-,-	1.531645	1.409610	1.339011	1.390842	1.369886	109.796583	102.473008	108.557823	114.951062	104.204460	-1.268275	1.014024	0.000000	0.012058	6.1995	[H]/N=C\\1/C(=N\\Nc2ccccc2)/c3ncc(n3O1)c4ccc(cc4)Cl
22222f1	22222	CCNCC	N,O,-,-,-	1.532459	1.376931	1.393116	1.394601	1.457610	105.812725	105.656797	110.585159	111.370739	106.574193	-0.173464	0.084038	0.000000	0.001857	14.7233	ON(O)NC(=N)NN=C1C(=O)NC2=C1C=CC=C2
22222f1	22222	CCNCC	N,O,-,-,-	1.534006	1.377702	1.392147	1.394115	1.458746	105.719434	105.600466	110.676659	111.348326	106.655109	-0.020905	0.010304	0.000000	0.000222	14.2164	NC(=S)NN=C1C(=O)NC2=C1C=CC=C2
22222f1	22222	CNCCC	O,-,O,-,-	1.361276	1.361276	1.462437	1.385318	1.462437	106.365432	112.380288	106.365432	107.444424	107.444424	0.000007	-0.000003	0.000000	0.000000	7.6562	O=C1NC(=O)C2=C1C=CC=C2
22222f1	22222	CNCCC	O,-,O,-,-	1.361276	1.361276	1.462437	1.385318	1.462437	106.365432	112.380288	106.365432	107.444425	107.444423	0.000010	-0.000007	0.000000	0.000000	7.2782	O=C1NC(=O)c2ccccc12
22222f1	22222	CNCCC	O,-,O,-,-	1.367043	1.367043	1.461817	1.383415	1.461817	106.378864	112.047549	106.378864	107.597128	107.597130	-0.217641	0.127597	0.000000	0.001907	0.0010	O=C1N(CC2=CC=CC=C2)C(=O)C3=C1C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.367111	1.366827	1.461875	1.383330	1.461201	106.504188	111.900609	106.463668	107.572782	107.546170	-1.120274	0.635951	0.000000	0.009919	1.7680	N1(C(C2C=CC=CC(C1=O)=2)=O)CC3=C(C(=O)Cl)C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.368611	1.368336	1.461716	1.383472	1.461603	106.530933	111.736119	106.516414	107.571701	107.550193	3.155423	-1.988396	0.000000	0.027239	3.8495	O=C1N(CCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCCC	O,-,O,-,-	1.368611	1.368336	1.461716	1.383472	1.461603	106.530936	111.736117	106.516417	107.571702	107.550189	3.155420	-1.988397	0.000000	0.027239	3.8495	O=C1N(CCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCCC	O,-,O,-,-	1.368747	1.368853	1.461768	1.382956	1.461237	106.501422	111.741850	106.447660	107.605832	107.566763	-3.739530	2.239755	0.000000	0.032712	0.9652	N1(C(C2C=CC=CC(C1=O)=2)=O)CC3=C(C(=O)O)C=CC=C3
