#种子 0xf00d	NCONF 100	环大小 5
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	a0	a1	a2	a3	a4	t0	t1	t2	Q	phi	SMILES
22222f1	22222	CCCCC	-,-,-,O,-	1.433281	1.335029	1.474096	1.475562	1.336828	110.492913	111.604092	104.366024	108.465968	104.947951	-3.402691	3.429318	0.000000	0.031954	2.7231	[H]/N=C\\1/[C@H]([C@H](C2=C(S1)C=C(C2=O)C)C(C)C)C#N
22222f1	22222	CCCCC	-,-,-,O,-	1.490085	1.379676	1.450714	1.477285	1.352370	104.358184	111.500084	106.778879	105.532707	111.830146	0.000028	-0.000095	0.000000	0.000001	11.4581	c1cnc2c(n1)C(=CC2=O)[O-]
22222f1	22222	CCCCC	-,C,-,-,-	1.455453	1.467648	1.405899	1.461477	1.343156	109.911451	107.016138	105.415007	109.830441	107.826636	-0.180464	0.134350	0.000000	0.001679	10.4700	C1=CC=C(C=C1)C=C2C=CC3=C2C=CC=C3
22222f1	22222	CCCCN	O,-,-,O,-	1.458575	1.384387	1.462649	1.360210	1.360730	106.464211	107.406743	107.490521	106.240922	112.351777	-0.874671	-0.437238	0.000000	0.018956	11.5526	[O-][N+](=O)C1=C2C(=O)NC(=O)C2=CC=C1
22222f1	22222	CCCCN	O,-,-,O,-	1.463118	1.386787	1.462589	1.360720	1.360773	106.339111	107.465971	107.334295	106.446931	112.413692	-0.000002	0.000004	0.000000	0.000000	2.9027	[O-][N+](=O)C1=CC2=C(C=C1)C(=O)NC2=O
22222f1	22222	CCCCN	O,N,-,-,-	1.533188	1.458954	1.393777	1.391716	1.378385	105.564937	105.732926	106.674054	111.316297	110.710081	0.317259	-0.109440	0.000000	0.003902	14.9724	[O-][N+](=O)C1=CC(=C(NN=C2C(=O)NC3=C2C=CC=C3)C=C1)[N+]([O-])=O
22222f1	22222	CCCCO	O,-,-,O,-	1.439516	1.364861	1.439516	1.359482	1.359482	106.221900	107.915220	107.915219	106.221902	111.725759	0.000001	0.000003	0.000000	0.000000	9.2520	C1(C2=C(C(O)=CC=C2O)C(O1)=O)=O
22222f1	22222	CCCCO	O,-,-,O,-	1.441912	1.366353	1.445744	1.359284	1.360245	105.922659	107.956554	108.058060	105.706113	112.345551	-0.987052	0.545165	0.000000	0.009468	5.9196	[O-][N+](=O)C1=C2C(=O)OC(=O)C2=CC=C1
22222f1	22222	CCCCO	O,-,-,O,-	1.451117	1.372586	1.451117	1.355874	1.355874	105.921300	107.742358	107.742358	105.921300	112.672684	0.000002	-0.000006	0.000000	0.000000	17.4765	ClC1=C(Cl)C(=C2C(=O)OC(=O)C2=C1Cl)Cl
22222f1	22222	CCCCO	O,-,-,O,-	1.454713	1.374514	1.454713	1.354471	1.354471	106.062170	107.606304	107.606303	106.062171	112.663052	0.000005	0.000009	0.000000	0.000000	12.5862	BrC1=C(Br)C(=C2C(=O)OC(=O)C2=C1Br)Br
22222f1	22222	CCCNN	-,-,N,-,-	1.343776	1.558511	1.345645	1.527639	1.380058	111.303478	108.514485	104.470605	109.575025	105.856272	0.660196	2.556299	0.000000	0.047690	6.6916	CC1=CCC(=O)C2=CNN(C2=[NH+]1)C
22222f1	22222	CCCNO	N,N,-,-,-	1.531644	1.409610	1.339011	1.390841	1.369885	109.796559	102.473023	108.557813	114.951054	104.204494	1.268083	-1.013901	0.000000	0.012057	6.2015	[H]/N=C\\1/C(=N\\Nc2ccccc2)/c3ncc(n3O1)c4ccc(cc4)Cl
22222f1	22222	CCNCC	N,O,-,-,-	1.532459	1.376931	1.393116	1.394601	1.457610	105.812731	105.656792	110.585156	111.370745	106.574188	0.173466	-0.084036	0.000000	0.001857	14.7245	ON(O)NC(=N)NN=C1C(=O)NC2=C1C=CC=C2
22222f1	22222	CCNCC	N,O,-,-,-	1.534006	1.377702	1.392147	1.394114	1.458746	105.719438	105.600458	110.676669	111.348331	106.655099	-0.020932	0.010344	0.000000	0.000223	14.1343	NC(=S)NN=C1C(=O)NC2=C1C=CC=C2
22222f1	22222	CNCCC	O,-,O,-,-	1.361276	1.361276	1.462437	1.385318	1.462437	106.365431	112.380288	106.365433	107.444423	107.444425	-0.000007	0.000003	0.000000	0.000000	14.8111	O=C1NC(=O)C2=C1C=CC=C2
22222f1	22222	CNCCC	O,-,O,-,-	1.361276	1.361276	1.462437	1.385318	1.462437	106.365432	112.380288	106.365432	107.444424	107.444424	-0.000020	0.000013	0.000000	0.000000	7.6777	O=C1NC(=O)c2ccccc12
22222f1	22222	CNCCC	O,-,O,-,-	1.366827	1.367110	1.461201	1.383330	1.461875	106.463663	111.900611	106.504189	107.546175	107.572778	-1.141653	0.692336	0.000000	0.009920	1.7655	N1(C(C2C=CC=CC(C1=O)=2)=O)CC3=C(C(=O)Cl)C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.367043	1.367043	1.461817	1.383415	1.461817	106.378864	112.047549	106.378864	107.597129	107.597128	0.217650	-0.127605	0.000000	0.001907	0.0004	O=C1N(CC2=CC=CC=C2)C(=O)C3=C1C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.368336	1.368611	1.461603	1.383472	1.461716	106.516418	111.736116	106.530936	107.550188	107.571703	-3.032026	1.651966	0.000000	0.027239	3.8495	O=C1N(CCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCCC	O,-,O,-,-	1.368611	1.368336	1.461716	1.383472	1.461603	106.530935	111.736119	106.516419	107.571699	107.550189	3.155412	-1.988392	0.000000	0.027239	3.8496	O=C1N(CCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCCC	O,-,O,-,-	1.368723	1.369622	1.466234	1.384767	1.461190	106.002810	112.895986	105.401887	108.125604	107.573713	0.000011	-0.000000	0.000000	0.000000	0.8115	O=C1N(C2=NC=NN2)C(=O)C3=C1C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.368853	1.368747	1.461237	1.382955	1.461768	106.447659	111.741850	106.501420	107.566767	107.605832	-3.704309	2.139435	0.000000	0.032712	0.9653	N1(C(C2C=CC=CC(C1=O)=2)=O)CC3=C(C(=O)O)C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.373654	1.367043	1.460065	1.380578	1.459868	107.032907	110.774226	107.184311	107.463883	107.412719	3.620175	-2.106257	0.000000	0.032223	1.3253	O[CH]1CCCC[CH]1N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	CNCCC	O,-,O,-,-	1.378821	1.379717	1.459483	1.378086	1.460189	106.849997	110.526808	106.920538	107.685384	107.760301	4.878780	-2.559365	0.000000	0.045263	6.2382	O=C1N(C(=O)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.380811	1.378930	1.459930	1.377419	1.459207	106.999215	110.403482	106.956413	107.762272	107.687949	4.515945	-3.126433	0.000000	0.039016	8.5666	CC1=C(C=CC=C1)N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	CNCCC	O,-,O,-,-	1.382917	1.382917	1.458683	1.374996	1.458682	107.321109	109.876858	107.321120	107.740440	107.740472	0.000168	-0.000178	0.000000	0.000002	6.0073	O=C1N(C2=CC=CC=C2)C(=O)C3=C1C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.383147	1.383083	1.458638	1.374926	1.458598	107.348153	109.833131	107.344973	107.739393	107.734349	0.000827	-0.000503	0.000000	0.000007	0.4284	O=C1N(C2=CC3=C(C=CC=C3)C=C2)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCNN	-,-,N,-,-	1.354490	1.365725	1.385846	1.399346	1.310684	112.586409	110.516029	100.901694	114.129186	101.854556	-0.947164	1.136214	0.000000	0.009764	12.2394	COC1(C=NN=C2N1C=NN2)OC
22222f1	22222	CNCNN	-,-,N,-,-	1.378563	1.397386	1.423752	1.383545	1.311143	115.521526	107.416948	100.969687	114.905568	101.186227	-0.052749	0.069396	0.000000	0.000595	15.3072	COc1ccc(cc1OC)N2C=NN3C2=NNc4c3[nH]c5c4cccc5
22222f1	22222	CNNCN	O,-,-,N,-	1.412619	1.410694	1.375451	1.353099	1.376340	106.173845	108.498889	105.001514	110.630362	108.806419	6.059616	-9.471337	0.000000	0.082432	4.3390	c1cc(ccc1N2C(=O)N3CCCN=C3N2)F
22222f1	22222	COCCC	O,-,C,-,-	1.373250	1.404983	1.446788	1.378149	1.456589	107.796365	108.026294	109.305197	105.818949	109.053196	0.000206	-0.000090	0.000000	0.000002	13.4094	O=C1OC(=C2OC(=O)C3=C2C=CC=C3)C4=C1C=CC=C4
22222f1	22222	COCCC	O,-,C,-,-	1.374227	1.402068	1.442970	1.376937	1.457966	107.902627	107.673158	109.750385	105.744889	108.928714	-0.128853	0.047770	0.000000	0.001356	17.7787	O=C1OC(=CC2=CC=CC=C2)C3=C1C=CC=C3
