#种子 0xbeef	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f1	222222	CCCCCC	-,-,-,N,O,-	1.440086	1.403911	1.421168	1.495559	1.495549	1.352504	121.005391	120.666949	121.424214	118.732793	116.748357	121.422296	0.000001	0.000001	0.000000	0.000000	60.4023	COC1=CC(=O)C(=[N+]=[N-])c2c1non2
222222f1	222222	CCCCCC	-,-,O,-,-,C	1.348839	1.488667	1.503892	1.349053	1.467247	1.462177	120.693121	119.155667	118.498567	119.469288	119.934059	119.927786	-13.893013	12.444387	0.346487	0.160146	85.9851	C[CH]1OC=C2C(=C(C(O)=O)C(=O)C(=C2[CH]1C)C)O
222222f1	222222	CCCCCC	-,-,O,-,-,N	1.334404	1.474988	1.483426	1.386842	1.485990	1.490341	122.215109	122.391215	117.193545	120.421704	121.709807	116.066159	-0.356597	0.318476	0.093163	0.005279	84.2763	OC1=C2N=CC=CC2=C(C=C1)N=C3C=CC(=O)C4=C3C=CC=N4
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.484812	1.474011	1.391280	1.474034	1.491387	1.340075	122.427470	117.526323	120.540200	120.624399	118.084454	120.338026	-3.576289	-0.309388	5.914888	0.068570	73.9190	C1(=C(C(C2C=CC=CC(C1=O)=2)=O)Cl)OC3=CC=CC=C3
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.484812	1.474012	1.391281	1.474035	1.491387	1.340076	122.427565	117.526242	120.540199	120.624390	118.084417	120.337985	-3.576918	-0.309469	5.915485	0.068577	73.9215	ClC1=C(OC2=CC=CC=C2)C(=O)C3=C(C=CC=C3)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.485999	1.468446	1.391686	1.476844	1.490455	1.340940	122.372810	118.246657	120.054944	120.728413	118.583101	119.979477	-0.791931	-0.055782	1.543105	0.018221	69.0702	OC1=C(CCC[CH]2CC[CH]3CCCC[CH]3C2)C(=O)C4=C(C=CC=C4)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.486075	1.468871	1.391990	1.476916	1.490118	1.340465	122.318303	118.232244	120.079656	120.716831	118.536622	120.103062	0.484497	0.032046	-0.950216	0.011265	68.8435	OC1=C(CCCC2=CC=C(OC3=CC=CC=C3)C=C2)C(=O)C4=C(C=CC=C4)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.486215	1.465866	1.390140	1.477485	1.494915	1.343743	122.891064	118.328110	119.895340	120.846085	118.945253	119.094147	0.000000	0.000350	-0.000561	0.000004	64.4576	OC1=C(C2CCCCC2)C(=O)C3=C(C=CC=C3)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.486775	1.474414	1.391324	1.474414	1.486775	1.338350	121.534138	117.840197	120.625664	120.625662	117.840199	121.534141	-0.000002	0.000023	-0.000024	0.000000	83.2642	ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.487971	1.477287	1.393633	1.473319	1.475221	1.338967	120.510872	118.062539	120.650261	120.329966	117.788750	122.657614	0.000047	-0.000002	-0.000053	0.000001	83.7810	CC1=CC(=O)C2=C(C=CC=C2)C1=O
