#种子 0xf00d	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f1	222222	CCCCCC	-,-,-,N,O,-	1.440086	1.403911	1.421168	1.495559	1.495549	1.352504	121.005391	120.666947	121.424216	118.732792	116.748356	121.422298	-0.000001	0.000002	-0.000006	0.000000	46.3267	COC1=CC(=O)C(=[N+]=[N-])c2c1non2
222222f1	222222	CCCCCC	-,-,O,-,-,C	1.348839	1.488667	1.503892	1.349053	1.467247	1.462177	120.693122	119.155666	118.498558	119.469294	119.934059	119.927780	-13.893083	12.444428	0.346477	0.160146	85.9850	C[CH]1OC=C2C(=C(C(O)=O)C(=O)C(=C2[CH]1C)C)O
222222f1	222222	CCCCCC	-,-,O,-,-,N	1.334404	1.474989	1.483426	1.386841	1.485990	1.490341	122.215029	122.391226	117.193595	120.421623	121.709851	116.066209	0.357167	-0.319077	-0.092914	0.005284	84.3013	OC1=C2N=CC=CC2=C(C=C1)N=C3C=CC(=O)C4=C3C=CC=N4
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.484812	1.474012	1.391280	1.474035	1.491387	1.340076	122.427559	117.526310	120.540170	120.624424	118.084489	120.337930	3.576218	0.309477	-5.914899	0.068570	73.9189	C1(=C(C(C2C=CC=CC(C1=O)=2)=O)Cl)OC3=CC=CC=C3
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.484813	1.474012	1.391280	1.474035	1.491387	1.340076	122.427450	117.526328	120.540185	120.624414	118.084443	120.338044	3.576221	0.309477	-5.914986	0.068571	73.9184	ClC1=C(OC2=CC=CC=C2)C(=O)C3=C(C=CC=C3)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.485683	1.468429	1.391762	1.477152	1.490170	1.340949	122.438504	118.206780	120.053824	120.754662	118.559987	119.964832	0.552813	-0.009804	-1.127906	0.014091	67.0492	OC1=C(CCC[CH]2CC[CH]3CCCC[CH]3C2)C(=O)C4=C(C=CC=C4)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.486076	1.468870	1.391990	1.476916	1.490118	1.340465	122.318283	118.232257	120.079661	120.716839	118.536601	120.103080	0.484702	0.032094	-0.950322	0.011266	68.8518	OC1=C(CCCC2=CC=C(OC3=CC=CC=C3)C=C2)C(=O)C4=C(C=CC=C4)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.486215	1.465866	1.390140	1.477485	1.494915	1.343743	122.891040	118.328140	119.895334	120.846058	118.945271	119.094157	-0.000035	0.000066	-0.000074	0.000001	42.0869	OC1=C(C2CCCCC2)C(=O)C3=C(C=CC=C3)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.486775	1.474414	1.391324	1.474414	1.486775	1.338350	121.534130	117.840204	120.625661	120.625659	117.840204	121.534141	-0.000015	0.000010	-0.000012	0.000000	27.1302	ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.487971	1.477287	1.393633	1.473319	1.475221	1.338967	120.510872	118.062542	120.650261	120.329967	117.788744	122.657615	-0.000019	-0.000018	0.000041	0.000000	84.8671	CC1=CC(=O)C2=C(C=CC=C2)C1=O
