# 孤立芳香六元环的逐位置内角靶(度)。generator: harness/measure_ring6_aromatic.py
# 口径同 measure_params.py:ETKDGv3 种子 0xf00d、MMFF94 maxIters=500、只取收敛的。
# pattern 是环元素序列对旋转+反射的规范形;位置按该规范形编号。
# **靶取均值不取中位** —— 均值精确可加,所以逐位置靶之和 == 均值(逐环内角和),
# 见每个 pattern 上方的 '#' 行。中位数没有这个性质(吡啶差 +0.99°)。
# 同轨位置由 pattern 自身的自同构群定,轨内共用一个靶(化学上等价)。
#pattern	环数	位置	均值	p05	p95	中位	同轨位置	轨内极差
# CCCCCC	n=4667	Σ均值=719.9760	均值(逐环内角和)=719.9760
CCCCCC	4667	0	119.9960	118.1085	121.3962	120.0668	0,1,2,3,4,5	1.0759
CCCCCC	4667	1	119.9960	118.1085	121.3962	120.0668	0,1,2,3,4,5	1.0759
CCCCCC	4667	2	119.9960	118.1085	121.3962	120.0668	0,1,2,3,4,5	1.0759
CCCCCC	4667	3	119.9960	118.1085	121.3962	120.0668	0,1,2,3,4,5	1.0759
CCCCCC	4667	4	119.9960	118.1085	121.3962	120.0668	0,1,2,3,4,5	1.0759
CCCCCC	4667	5	119.9960	118.1085	121.3962	120.0668	0,1,2,3,4,5	1.0759
# CCCCCN	n=700	Σ均值=719.9768	均值(逐环内角和)=719.9768
CCCCCN	700	0	122.9321	120.2914	124.7145	123.5792	0,4	0.1447
CCCCCN	700	4	122.9321	120.2914	124.7145	123.5792	0,4	0.1447
CCCCCN	700	1	118.5783	116.9313	120.3004	118.5158	1,3	0.0666
CCCCCN	700	3	118.5783	116.9313	120.3004	118.5158	1,3	0.0666
CCCCCN	700	2	119.2992	117.6751	120.7580	119.3489	2	0.0000
CCCCCN	700	5	117.6568	116.0557	120.6445	117.2834	5	0.0000
# CCCNCN	n=324	Σ均值=719.9706	均值(逐环内角和)=719.9706
CCCNCN	324	0	123.0431	120.2903	125.7780	123.2287	0,2	0.0226
CCCNCN	324	2	123.0431	120.2903	125.7780	123.2287	0,2	0.0226
CCCNCN	324	1	115.7028	113.2972	118.4985	115.5574	1	0.0000
CCCNCN	324	3	116.5119	114.5253	118.5946	116.5376	3,5	0.0391
CCCNCN	324	5	116.5119	114.5253	118.5946	116.5376	3,5	0.0391
CCCNCN	324	4	125.1578	122.2252	127.6647	125.0108	4	0.0000
# CCNCCN	n=74	Σ均值=719.9905	均值(逐环内角和)=719.9905
CCNCCN	74	0	121.3797	116.0386	123.7837	122.0638	0,1,3,4	2.2413
CCNCCN	74	1	121.3797	116.0386	123.7837	122.0638	0,1,3,4	2.2413
CCNCCN	74	3	121.3797	116.0386	123.7837	122.0638	0,1,3,4	2.2413
CCNCCN	74	4	121.3797	116.0386	123.7837	122.0638	0,1,3,4	2.2413
CCNCCN	74	2	117.2359	114.7239	120.8028	117.0020	2,5	0.8349
CCNCCN	74	5	117.2359	114.7239	120.8028	117.0020	2,5	0.8349
# CCCCNN	n=50	Σ均值=719.9686	均值(逐环内角和)=719.9686
CCCCNN	50	0	121.8872	118.7390	124.2905	122.2394	0,3	0.6705
CCCCNN	50	3	121.8872	118.7390	124.2905	122.2394	0,3	0.6705
CCCCNN	50	1	118.3684	116.3633	120.0860	118.4092	1,2	0.0995
CCCCNN	50	2	118.3684	116.3633	120.0860	118.4092	1,2	0.0995
CCCCNN	50	4	119.7288	117.2328	122.4604	119.5197	4,5	0.7930
CCCCNN	50	5	119.7288	117.2328	122.4604	119.5197	4,5	0.7930
